periode_data,kota_kabupaten,kecamatan,jumlah_penduduk,kepadatan_penduduk,nama_fasilitas,jenis_fasilitas,latitude,longtitude,,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Multi Olahraga (4 Lantai Bangunan Baru),Gelanggang ,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Volley-Takraw (1 Lantai Bangunan Baru),Volley,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Sport Science,Sport Science,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gedung Serbaguna,Gelanggang ,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Sepakbola Lapangan Baru,Sepak Bola,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Track Atletik,Gelanggang ,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Panahan,Panahan,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Volley Outdoor (4 Lapangan),Volley,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Volley Pasir (2 Lapangan),Volley,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Basket Outdoor (2 Lapangan),Basket,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Tenis ( 2 Lapangan),Tenis,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Futsal,Futsal,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Gym Outdoor,Gym,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Wall Climbing,Panahan,"-63,054,243,131,286","10,682,476,774,603",,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Sepakbola Kebagusan,Sepak Bola,-63139026,1068281773,,,,,,
2023,JAKARTA SELATAN,PASAR MINGGU,"335,824","15,375",Lapangan Sepakbola Sintetis PPOP Ragunan,Sepak Bola,-6307676,106825828,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN LAMA,"334,487","17,035",Gelanggang Remaja Kecamatan Kebayoran Lama,Gelanggang ,"-62,451,692,135,064","10,676,922,493,948",,,,,,
2023,JAKARTA SELATAN,KEBAYORAN LAMA,"334,487","17,035",Lapangan Sepakbola A. Yani,Sepak Bola,-62494677,106778038,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN LAMA,"334,487","17,035",Gelanggang Remaja Kecamatan Kebayoran Lama,Gelanggang ,"-62,451,692,135,064","10,676,922,493,948",,,,,,
2023,JAKARTA SELATAN,KEBAYORAN LAMA,"334,487","17,035",Lapangan Sepakbola A. Yani,Sepak Bola,-62494677,106778038,,,,,,
2023,JAKARTA SELATAN,CILANDAK,"229,571","12,774",Gelanggang Remaja Kecamatan Cilandak,Gelanggang ,-629046,10679063,,,,,,
